STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,2/16/2010,,0.28,3.9,22,24,20
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,2/17/2010,,0,0.2,23,27,19
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,2/18/2010,,0,0,25,30,20
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,2/19/2010,,0,0,26,35,17
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,2/20/2010,,0.05,0.2,30,43,17
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,2/21/2010,,0,0,38.5,46,31
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,2/22/2010,,0.17,0,42,49,35
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,2/23/2010,,0.01,0,34.5,38,31
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,2/24/2010,,0.03,0.5,26,32,20
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,2/25/2010,,0.04,0.3,21.5,24,19
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,2/26/2010,,0,0,26.5,34,19
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,2/27/2010,,0.03,0.5,28,38,18
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,2/28/2010,,0,0,27.5,32,23
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,3/1/2010,,0,0,34,38,30
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,3/2/2010,,0,0,33.5,39,28
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,3/3/2010,,0,0,35.5,43,28
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,3/4/2010,,0,0,31,38,24
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,3/5/2010,,0,0,34,45,23
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,3/6/2010,,0,0,35.5,49,22
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,3/7/2010,,0,0,37,52,22
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,3/8/2010,,0.15,0,44,58,30
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,3/9/2010,,0,0,46,62,30
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,3/10/2010,,0.09,0,52,61,43
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,3/11/2010,,0,0,61.5,72,51
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,3/12/2010,,0.14,0,53,63,43
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,3/13/2010,,0.25,0,47.5,53,42
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,3/14/2010,,0.25,0,42,46,38
