"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-02-07",,,"0.00","0.0","2.0","28","8","8",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-02-08",,,"0.00","0.0","1.0","29","7","16",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-02-09",,,"0.17","2.0","3.0","32","15","23",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-02-10",,,"0.21","1.5","5.0","30","10","24",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-02-11",,,"0.00","0.0","4.0","28","19","28",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-02-12",,,"0.00","0.0","3.0","31","7","9",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-02-13",,,"0.00","0.0","2.0","34","9","19",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-02-14",,,"0.00","0.0","2.0","33","15","17",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-02-15",,,"0.34","3.2","5.0","34","17","24",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-02-16",,,"0.28","3.9","9.0","24","20","21",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-02-17",,,"0.00","0.2","9.0","27","19","20",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-02-18",,,"0.00","0.0","9.0","30","20","25",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-02-19",,,"0.00","0.0","8.0","35","17","18",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-02-20",,,"0.05","0.2","5.0","43","17","31",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-02-21",,,"0.00","0.0","3.0","46","31","38",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-02-22",,,"0.17","0.0","1.0","49","35","35",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-02-23",,,"0.01","0.0","0.0","38","31","31",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-02-24",,,"0.03","0.5","1.0","32","20","21",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-02-25",,,"0.04","0.3","0.0","24","19","20",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-02-26",,,"0.00","0.0","0.0","34","19","19",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-02-27",,,"0.03","0.5","1.0","38","18","24",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-02-28",,,"0.00","0.0",,"32","23","30",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-03-01",,,"0.00","0.0","0.0","38","30","32",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-03-02",,,"0.00","0.0","0.0","39","28","29",,,,,,
"USC00120784","BLOOMINGTON INDIANA UNIVERSITY, IN US","39.17399","-86.52076","253.0","2010-03-03",,,"0.00","0.0","0.0","43","28","28",,,,,,
